time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-02-04T22:07:40.00Z,29.768325342885987,-97.7710528683142,383.343,9.39,17.34,6.48,1.310,1.818,0.46,61.55739,1.04847,3,14
2023-02-04T22:07:40.10Z,29.768331125740133,-97.7710379833245,382.747,9.30,17.24,6.45,1.309,1.818,0.45,61.66026,1.05377,3,15
2023-02-04T22:07:40.20Z,29.76833670859429,-97.77102289833522,382.135,9.18,17.34,6.48,1.307,1.818,0.46,62.09789,1.04949,3,15
2023-02-04T22:07:40.30Z,29.768342291448505,-97.7710078133465,381.525,9.20,17.29,6.52,1.306,1.818,0.44,61.97838,1.03879,3,15
2023-02-04T22:07:40.40Z,29.768347874302663,-97.77099282835786,380.899,9.14,17.40,6.47,1.304,1.817,0.44,62.28588,1.03131,3,15
2023-02-04T22:07:40.50Z,29.76835335715691,-97.77097784336979,380.261,9.14,17.32,6.42,1.303,1.817,0.43,62.17139,1.11574,3,15
2023-02-04T22:07:40.60Z,29.768358840011047,-97.7709627583821,379.631,9.06,17.34,6.45,1.301,1.816,0.43,62.41630,1.11841,3,14
2023-02-04T22:07:40.70Z,29.76836432286524,-97.77094767339497,379.006,9.02,17.35,6.49,1.300,1.816,0.43,62.52602,1.11768,3,14
2023-02-04T22:07:40.80Z,29.76836980571943,-97.7709324884081,378.369,8.96,17.52,6.54,1.298,1.815,0.43,62.90547,1.10937,3,14
2023-02-04T22:07:40.90Z,29.768375288573623,-97.7709173034217,377.729,8.98,17.44,6.56,1.297,1.814,0.43,62.74428,1.08155,3,14
2023-02-04T22:07:41.00Z,29.768380771427815,-97.77090191843558,377.083,9.01,17.57,6.67,1.296,1.814,0.45,62.86852,1.07377,3,14
2023-02-04T22:07:41.10Z,29.768386254282007,-97.77088673344997,376.426,9.04,17.46,6.66,1.294,1.813,0.45,62.62171,1.05276,3,14
2023-02-04T22:07:41.20Z,29.768391737136085,-97.77087164846466,375.762,9.03,17.57,6.67,1.293,1.812,0.45,62.79976,1.04594,3,14
2023-02-04T22:07:41.30Z,29.768397219990277,-97.77085616347983,375.095,9.01,17.66,6.77,1.291,1.810,0.44,62.95804,1.03770,3,14
2023-02-04T22:07:41.40Z,29.76840270284447,-97.77084087849562,374.417,9.08,17.60,6.79,1.289,1.809,0.43,62.70493,1.04106,3,14
2023-02-04T22:07:41.50Z,29.768408285698683,-97.77082539351159,373.749,9.11,17.77,6.80,1.288,1.808,0.44,62.85204,1.03270,3,14
2023-02-04T22:07:41.60Z,29.76841386855284,-97.77080990852801,373.057,9.18,17.78,6.95,1.286,1.807,0.43,62.68137,1.02928,3,14
2023-02-04T22:07:41.70Z,29.768419451407055,-97.77079452354508,372.375,9.19,17.67,6.87,1.284,1.806,0.44,62.52763,1.04731,3,14
2023-02-04T22:07:41.80Z,29.768425134261236,-97.77077903856264,371.717,9.17,17.74,6.86,1.282,1.804,0.43,62.65465,1.03800,3,14
2023-02-04T22:07:41.90Z,29.768430817115416,-97.77076355358031,371.045,9.22,17.83,6.88,1.281,1.803,0.44,62.64614,1.02285,3,14
2023-02-04T22:07:42.00Z,29.768436499969596,-97.77074806859878,370.358,9.29,17.88,6.93,1.279,1.802,0.45,62.55669,1.01842,3,14
2023-02-04T22:07:42.10Z,29.768442182823776,-97.77073258361725,369.690,9.25,17.82,6.83,1.278,1.801,0.45,62.57559,1.01884,3,14
2023-02-04T22:07:42.20Z,29.76844796567798,-97.77071699863654,369.012,9.41,17.84,6.89,1.277,1.800,0.46,62.19873,1.02275,3,14
